Variable_ID,Description
mp17,FLUECHTL. CHANCE O.RISIKO: SICHERHEIT
mp18,FLUECHTL. CHANCE O.RISIKO: ZUSAMMENLEBEN
mp19,FLUECHTL. CHANCE O.RISIKO: WIRTSCHAFT
md03,AUSLAENDERBEHANDLUNG DURCH BEHOERDEN
mn01,EINBUERGERUNG: SOLLTE HIER GEBOREN SEIN
mn02,EINBUERGERUNG: DEUTSCHE ABSTAMMUNG HABEN
mn03,EINBUERGERUNG: DEUTSCH SPRECHEN
mn04,EINBUERGERUNG: LANGE BEI UNS GELEBT
mn05,EINBUERGERUNG: LEBENSSTILANPASSUNG
mn06,EINBUERGERUNG: IN CHRISTLICH.KIRCHE SEIN
mn07,EINBUERGERUNG: KEINE STRAFTATEN
mn08,EINBUERGERUNG: EIGENER LEBENSUNTERHALT
mn09,EINBUERGERUNG: ZU GRUNDGESETZ BEKENNEN
ma01,AUSLAENDER: MEHR ANPASSUNG
ma02,AUSLAEND.:WIEDER HEIM BEI KNAPPER ARBEIT
ma03,AUSLAENDER: POLIT.BETAETIGUNG UNTERSAGEN
ma04,AUSLAENDER: SOLLTEN UNTER SICH HEIRATEN
mc01,AUSLAENDER: KONTAKT I.D.EIGENEN FAMILIE?
mc02,AUSLAENDER: KONTAKT BEI DER ARBEIT?
mc03,AUSLAENDER: KONTAKT IN D. NACHBARSCHAFT?
mc04,AUSLAENDER: KONTAKT IM FREUNDESKREIS?
ma05,DOPPELTE STAATSBUERGERSCHAFT ERLAUBEN
ma06,GLEICHE SOZIALLEISTUNGEN FUER AUSLAENDER
ma07,KOMMUNALES WAHLRECHT FUER AUSLAENDER
ma08,AN SCHULEN AUCH ISLAMUNTERRICHT ERLAUBEN
ma09,FREMDER IM EIGENEN LAND DURCH AUSLAENDER
mp13,AUSLAENDERANTEILSCHAETZUNG FUER WESTEN
mp14,AUSLAENDERANTEILSCHAETZUNG FUER OSTEN
mp15a,AUSLAENDERANTEIL IN EIGENER WOHNUMGEBUNG
ms01,MOECHTE IN WOHNGEBIET 1 LEBEN
ms02,MOECHTE IN WOHNGEBIET 2 LEBEN
ms03,MOECHTE IN WOHNGEBIET 3 LEBEN
ms04,MOECHTE IN WOHNGEBIET 4 LEBEN
ms05,MOECHTE IN WOHNGEBIET 5 LEBEN
ms06,MOECHTE IN WOHNGEBIET 6 LEBEN
ms07,MOECHTE IN WOHNGEBIET 7 LEBEN
ms08,MOECHTE IN WOHNGEBIET 8 LEBEN
ms09,MOECHTE IN WOHNGEBIET 9 LEBEN
ms10,MOECHTE IN WOHNGEBIET 10 LEBEN
ms11,MOECHTE IN WOHNGEBIET 11 LEBEN
ms12,MOECHTE IN WOHNGEBIET 12 LEBEN
ms13,MOECHTE IN WOHNGEBIET 13 LEBEN
ms14,MOECHTE NICHT IN WOHNGEBIET 1 LEBEN
ms15,MOECHTE NICHT IN WOHNGEBIET 2 LEBEN
ms16,MOECHTE NICHT IN WOHNGEBIET 3 LEBEN
ms17,MOECHTE NICHT IN WOHNGEBIET 4 LEBEN
ms18,MOECHTE NICHT IN WOHNGEBIET 5 LEBEN
ms19,MOECHTE NICHT IN WOHNGEBIET 6 LEBEN
ms20,MOECHTE NICHT IN WOHNGEBIET 7 LEBEN
ms21,MOECHTE NICHT IN WOHNGEBIET 8 LEBEN
ms22,MOECHTE NICHT IN WOHNGEBIET 9 LEBEN
ms23,MOECHTE NICHT IN WOHNGEBIET 10 LEBEN
ms24,MOECHTE NICHT IN WOHNGEBIET 11 LEBEN
ms25,MOECHTE NICHT IN WOHNGEBIET 12 LEBEN
ms26,MOECHTE NICHT IN WOHNGEBIET 13 LEBEN
mg01,LEBENSSTILUNTERSCHIED: ITALIENER IN BRD
mg02,LEBENSSTILUNTERSCHIED: AUSSIEDLER IN BRD
mg03,LEBENSSTILUNTERSCHIED: ASYLBEWERB. I.BRD
mg04,LEBENSSTILUNTERSCHIED: TUERKEN IN BRD
mg05,LEBENSSTILUNTERSCHIED: JUDEN IN BRD
mg06,LEBENSSTILUNTERSCHIED: POLEN IN BRD
mg07,WIE ANGENEHM ALS NACHBAR: ITALIENER
mg08,WIE ANGENEHM ALS NACHBAR: AUSSIEDLER
mg09,WIE ANGENEHM ALS NACHBAR: ASYLBEWERBER
mg10,WIE ANGENEHM ALS NACHBAR: TUERKE
mg11,WIE ANGENEHM ALS NACHBAR: JUDE
mg13,EINHEIRAT IN EIGENE FAMILIE: ITALIENER
mg14,EINHEIRAT IN EIGENE FAMILIE: AUSSIEDLER
mg15,EINHEIRAT IN EIGENE FAMILIE:ASYLBEWERBER
mg16,EINHEIRAT IN EIGENE FAMILIE: TUERKE
mg17,EINHEIRAT IN EIGENE FAMILIE: JUDE
mg19,RECHTSGLEICHSTELLUNG FUER: ITALIENER
mg20,RECHTSGLEICHSTELLUNG FUER: AUSSIEDLER
mg21,RECHTSGLEICHSTELLUNG FUER: ASYLBEWERBER
mg22,RECHTSGLEICHSTELLUNG FUER: TUERKEN
mg23,RECHTSGLEICHSTELLUNG FUER: JUDEN
mm01,ISLAMAUSUEBUNG IN DEUTSCHL. BESCHRAENKEN
mm02,ISLAM PASST IN DIE DEUTSCHE GESELLSCHAFT
mm03,ANWESENHEIT VON MUSLIMEN BRINGT KONFLIKT
mm04,STAAT SOLLTE ISLAM. GRUPPEN BEOBACHTEN
mm05,MUSLIMISCHER BUERGERMEISTER IN ORDNUNG
mm06,UNTER MUSLIMEN SIND VIELE REL. FANATIKER
mm07,FUER DEN BAU VON MOSCHEEN IN BRD?
mj01,JUDEN HABEN AUF DER WELT ZUVIEL EINFLUSS
mj02,SCHAM UEBER DEUTSCHE UNTATEN AN JUDEN
mj03,JUDEN NUTZEN DEUTSCHE VERGANGENHEIT AUS
mj04,JUDEN AN VERFOLGUNGEN NICHT UNSCHULDIG
mj05,JUDEN: ABLEHNUNG WEGEN POLITIK ISRAELS
mj06,"UNGERECHT, DASS ISRAEL LAND WEGNIMMT"
md06,VORKOMMEN: WIRT DISKRIMINIERT AUSLAENDER
md07,VORKOMMEN: ELTERN DISKRIMINIEREN TUERKEN
md08,VORKOMMEN: UNTERNEHMER DISKRIMINIEREN
md09,MEINUNG: WIRT DISKRIMINIERT AUSLAENDER
md10,MEINUNG: ELTERN DISKRIMINIEREN TUERKEN
md11,MEINUNG: UNTERNEHMER DISKRIMINIEREN
md12,ALLGEM. MEINUNG: DISKRIMINIERENDER WIRT
md13,ALLGEM. MEINUNG: DISKRIMINIERENDE ELTERN
md14,ALLG.MEINUNG: DISKRIMINIERENDER UNTERN.
fn01,BRAUCHT MAN FAMILIE ZUM GLUECK?
fn02,HEIRAT BEI DAUERNDEM ZUSAMMENLEBEN
fn03,GRUND FUER HEIRAT: KIND
fn04,WELCHES IST DIE IDEALE KINDERZAHL?
fr01,BERUFST.FRAU: HERZL. VERHAELT. ZUM KIND
fr02,"FRAU, LIEBER MANN BEI D.KARRIERE HELFEN?"
fr03a,"FRAU, NICHT ARBEITEN BEI KLEINKIND?(A)"
fr04a,"FRAU, ZU HAUSE KINDER VERSORGEN?(A)"
fr05a,"FRAU, BERUFSTAETIG BESSERE MUTTER?(A)"
fr06,"FRAU, NACH HEIRAT ARBEITSPL. FREIMACHEN?"
fr07,ERWERBSTAETIGE FRAU AUCH GUTE MUTTER
fr08,"ELTERN VOLLZEIT ARBEITEN,HAUSHALT TEILEN"
fr03b,"FRAU, NICHT ARBEITEN BEI KLEINKIND?(B)"
