Section_Class,ID,Description,Heads_of_Families,Wives,Children_under_15,Young_Persons_15_to_20,Unmarried_Men_and_Widowers,Total_Persons,A,B,C,D,E,F,G,H,Total_Classes,District,poverty_rate,kids_per_household,unmarried_ratio
0,12.0,Food preparation,913.0,904.0,1940.0,540.0,540.0,4885.0,0.0,17.0,0.0,67.0,364.0,0.0,0.0,0.0,4885.0,Whitechapel,0.017195496417604914,2.1248630887185103,0.1105424769703173
Locomotion,13.0,Railway servants,107.0,106.0,173.0,49.0,63.0,498.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,498.0,Whitechapel,0.0,1.6168224299065421,0.12650602409638553
0,14.0,Road Service,127.0,126.0,253.0,73.0,75.0,654.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,654.0,Whitechapel,0.0,1.9921259842519685,0.11467889908256881
Assistants,15.0,Shops,226.0,223.0,427.0,124.0,132.0,1132.0,0.0,0.0,0.0,0.0,0.0,899.0,0.0,0.0,1132.0,Whitechapel,0.0,1.8893805309734513,0.1166077738515901
0,16.0,"Police, soldiers, and sub-officials",215.0,212.0,429.0,124.0,126.0,1106.0,0.0,0.0,0.0,0.0,0.0,1106.0,0.0,0.0,1106.0,Whitechapel,0.0,1.9953488372093022,0.11392405063291139
Other wages,17.0,Seamen,27.0,26.0,48.0,14.0,15.0,130.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,130.0,Whitechapel,0.0,1.7777777777777777,0.11538461538461539
0,18.0,Other wage earners,76.0,75.0,145.0,42.0,44.0,382.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0,0.0,382.0,Whitechapel,0.0,1.9078947368421053,0.11518324607329843
Manufacturers,19.0,Home industries (not employing),238.0,236.0,474.0,139.0,140.0,1227.0,0.0,0.0,0.0,0.0,0.0,1227.0,0.0,0.0,1227.0,Whitechapel,0.0,1.9915966386554622,0.11409942950285248
0,20.0,Small employers,673.0,662.0,1689.0,480.0,406.0,3918.0,0.0,0.0,0.0,0.0,3918.0,0.0,0.0,0.0,3918.0,Whitechapel,0.0,2.5096582466567607,0.10362429811128127
0,21.0,Large employers,100.0,100.0,148.0,43.0,58.0,449.0,0.0,0.0,0.0,0.0,0.0,449.0,0.0,0.0,449.0,Whitechapel,0.0,1.48,0.1291759465478842
Dealers,22.0,Street sellers,523.0,516.0,1048.0,301.0,468.0,2856.0,72.0,276.0,938.0,544.0,974.0,52.0,0.0,0.0,2856.0,Whitechapel,0.6407563025210085,2.0038240917782026,0.1638655462184874
0,23.0,General dealers,577.0,569.0,1163.0,338.0,337.0,2984.0,18.0,57.0,552.0,450.0,1250.0,607.0,50.0,0.0,2984.0,Whitechapel,0.3609249329758713,2.0155979202772962,0.11293565683646113
0,24.0,Small shops,637.0,630.0,1157.0,336.0,372.0,3132.0,0.0,16.0,24.0,305.0,1564.0,922.0,301.0,0.0,3132.0,Whitechapel,0.11015325670498084,1.816326530612245,0.11877394636015326
0,25.0,Large shops (employing assistants),350.0,345.0,690.0,200.0,206.0,1791.0,0.0,0.0,0.0,24.0,520.0,720.0,527.0,0.0,1791.0,Whitechapel,0.01340033500837521,1.9714285714285715,0.11501954215522055
Refreshment,26.0,Coffee and boarding houses,96.0,94.0,189.0,54.0,57.0,493.0,0.0,0.0,0.0,0.0,79.0,182.0,232.0,0.0,493.0,Whitechapel,0.0,1.96875,0.11561866125760649
0,27.0,Licensed houses,156.0,154.0,265.0,76.0,91.0,742.0,0.0,0.0,0.0,5.0,13.0,119.0,386.0,219.0,742.0,Whitechapel,0.006738544474393531,1.6987179487179487,0.12264150943396226
Salaried,28.0,Clerks and Agents,266.0,262.0,514.0,149.0,155.0,1346.0,0.0,0.0,0.0,27.0,54.0,540.0,120.0,150.0,1346.0,Whitechapel,0.020059435364041606,1.9323308270676691,0.1151560178306092
0,29.0,Subordinate professional,82.0,81.0,173.0,53.0,48.0,437.0,0.0,0.0,0.0,8.0,32.0,162.0,165.0,80.0,437.0,Whitechapel,0.018306636155606407,2.1097560975609757,0.10983981693363844
0,30.0,Professional,37.0,37.0,67.0,20.0,21.0,182.0,0.0,0.0,0.0,0.0,16.0,16.0,150.0,0.0,182.0,Whitechapel,0.0,1.8108108108108107,0.11538461538461539
No work,31.0,Ill and no occupation,93.0,91.0,158.0,46.0,54.0,442.0,0.0,31.0,32.0,0.0,32.0,9.0,16.0,0.0,442.0,Whitechapel,0.1425339366515837,1.6989247311827957,0.12217194570135746
0,32.0,Independent,14.0,14.0,9.0,2.0,8.0,47.0,0.0,0.0,0.0,0.0,23.0,8.0,16.0,0.0,47.0,Whitechapel,0.0,0.6428571428571429,0.1702127659574468
Females,33.0,Semi-domestic employment,361.0,0.0,578.0,169.0,0.0,1108.0,5.0,334.0,329.0,216.0,224.0,0.0,0.0,0.0,1108.0,Whitechapel,0.7978339350180506,1.6011080332409973,0.0
0,34.0,Dress,151.0,0.0,250.0,73.0,0.0,474.0,0.0,102.0,140.0,167.0,65.0,0.0,0.0,0.0,474.0,Whitechapel,0.8628691983122363,1.6556291390728477,0.0
0,35.0,Small trades,141.0,0.0,206.0,77.0,0.0,484.0,5.0,91.0,123.0,124.0,136.0,0.0,0.0,0.0,484.0,Whitechapel,0.7086776859504132,1.4609929078014185,0.0
0,36.0,Employing and professional,30.0,0.0,39.0,11.0,0.0,80.0,0.0,0.0,0.0,0.0,10.0,40.0,15.0,0.0,80.0,Whitechapel,0.0,1.3,0.0
0,37.0,Supported,111.0,0.0,166.0,49.0,0.0,326.0,0.0,48.0,30.0,120.0,128.0,0.0,0.0,0.0,326.0,Whitechapel,0.6073619631901841,1.4954954954954955,0.0
